Title,Company,Experience,Location,Skills,Summary
Admission Support Officer,People Strong Hr Services Pvt Ltd,0 to 2 Yrs,Surat,"Skills :engineering, surgery, sales, communication, psychopharmacology",Only Female Candidate Requirement: 1. Good communication skills. (Fluency in English/Hindi both is must ) 2. Candidate should be comfortable for target based job. Essential Duties and Responsibilities: 1. Sales
Admission Officer,People Strong Hr Services Pvt Ltd,0 to 5 Yrs,Surat,"Skills :management, coaching, marketing, communication, fundraising","Job Description: . 1 .Achive the Designated Targets 2. Generate database from Schools and other sources 3. Meets the Principals, Coordinators and management Personals of schools for Business generation. 4."
Required Sales Associate for Dubai,Victory International,2 to 5 Yrs,Surat,"Skills :sales, selling, jewelry, marketing, diamonds",One of the Reputed Jewelery Showroom in Dubai Requires Sales Associate (Male/Female)\ Salary : AED 1500 to 1800 per month Experience : 2-10 years Qualification : Any Graduate or undergraduate
Sales Manager Agency,Freelancer Goklani Komal MukeshKumar,2 to 7 Yrs,Surat,"Skills :agency, mentoring, any sales, agency channel, team management","Job Description To recruit, train, guide and mentor insurance consultants and generating new business and renewals for life insurance products and adhering to all policies of the company and rules"
Cluster Manager - Bancassurance - Life Insurance,Freelancer Goklani Komal MukeshKumar,5 to 10 Yrs,Surat,"Skills :sales, insurance, business development, bancassurance","OB PURPOSE: - To derive Insurance Business from assigned Relationship / Channel partner in an area or zone, to convince the relationship so they can convince their customer to invest"
Branch Head - Life Insurance (Agency),Freelancer Goklani Komal MukeshKumar,7 to 12 Yrs,Surat,"Skills :life insurance, ap sales","Job Description Designation: Branch Manager / Branch Head Salary:12Lac Location - Delhi , Surat , Ahmedabad , Bangalore , Nasik , Mumbai Experience: 5-12 year sales Job Profile: The Branch"
Required Supervisor post in foods company,Hr Solutions.. Hiring For Britannia company,0 to 4 Yrs,Surat,"Skills :supervision, pressure,","New Job Opening In Britannia Foods Company Salary Monthly Bases;-14,000/40000 Designation:- Supervisor. Store keeper. Senior supervisor Responsibilities --Supervisor are generally responsible for maintaining and overseeing inventory and supplies by receiving,"
Walk in For Airticketing,JN Hiring Solutions,0 to 2 Yrs,Surat,"Skills :management, ground staff activities","Dear Candidate, Greeting Of the day! We are Hiring for the jobs for the position of Maintenance Engineer/ Ground Staff Key Responsibilities:- Welcome passengers on board and directing them to"
SALES FIELD MANAGER FOR THE FMCG COMPANY,Adidev Herbals Pvt Ltd,1 to 5 Yrs,Surat,"Skills :purchasing, marketing, sales, herbal, strategy","ABOUT US: We are manufacturers of Herbal Beauty & Personal care products . Job Description The Business Development Manager is responsible for identifying and developing strategicbusiness relationships with group ,purchasing"
Sales Development Manager,Aspire ERP systems Hiring For Aspire ERP systems,1 to 6 Yrs,Surat,"Skills :insurance, management, marketing, relationship management, channel relationships",Greetings!!! From Aspire ERP Hiring Partner for MNC LIFE INSURANCE COMPANY NAME: MNC LIFE INSURANCE DESIGNATION: RELATIONSHIP MANAGER Channel: Banccassurance JOB PROFILE: HANDLING WALKIN CUSTOMERS OF THE BANK Responsible in
Equity Dealer_Dealer,Crest Manpower Solutions Pvt Ltd. Hiring For Crest Manpower Solutions Pvt Ltd.,1 to 6 Yrs,Surat,"Skills :dmat, stock, trading, derivatives, equity securities",Position title:-Equity Dealer A leading stock broking company is looking for Equity Dealer cum Advisors for your location. Experience:- Minimum 1 year in Equity Dealing (mandatory) Salary:- Up to 4.5
Health Insurance Counselor,SUPRO INFO SOLUTIONS PRIVATE LIMITED,1 to 6 Yrs,Surat,"Skills :sales, field sales, relationship manager, cold calling, financial planning manager",We are hiring Sales experienced candidates for our top client. Contact:9104598583 CTC: Depend on Previous Salary and Interview(Upto 5 Lac) Job Eligibility Criteria: - Minimum 1 years of Sales and
Python With Machine learning  Internship,MAXGEN TECHNOLOGIES PRIVATE LIMITED,0 to 1 Yr,Surat,"Skills :it, engineering, python, deep learning, machine learning","Maxgen Technologies Pvt Ltd hiring Summer Interns for Live Project Internship Program for Python . Candidate will work on live project in Core Python,Machine learning,AI technology We have experience staff"
IT Developer Required,MAXGEN TECHNOLOGIES PRIVATE LIMITED,0 to 1 Yr,Surat,"Skills :php, ltd, sec, android, basic","Dear Candidate Maxgen Technologies Pvt Ltd looking For IT Freshers in Immediate basic. Required in .Software testing,Python,Java,Android,Asp.net,Php Experience . 0 to 6 month Skills,. Ability to work on basic task"
Sales And Marketing Manager,SUPRO INFO SOLUTIONS PRIVATE LIMITED,3 to 8 Yrs,Surat,"Skills :b2b, bfsi, field sales, sales executive, fmcg sales",Job Eligibility Criteria: - 2+ years of Sales and Marketing experience. Minimum qualification- Completed any Graduation required. Age between 25 to 40 Years. Lived in Current location minimum for 2
Direct Sales Manager,SUPRO INFO SOLUTIONS PRIVATE LIMITED,1 to 5 Yrs,Surat,"Skills :sales, banking, business, insurance, marketing",We are having openings for Direct Sales Manager. Company: Insurance Minimum Qualification-Graduate. Experience: 6 months-2 years experience in Sales and Marketing Package Offered: - 1.80 L/A 2.76 L/A ++ incentives
Field Sales Executive,SUPRO INFO SOLUTIONS PRIVATE LIMITED,0 to 5 Yrs,Surat,"Skills :target, marketing, sales, finance, casa sales",Job Eligibility Criteria:- 1 years of Sales and Marketing Manager any field work experience. If candidate having experience in BFSI domain (In Sales) it's first preferably 1 year stability Minimum
Senior Sales Manager,SUPRO INFO SOLUTIONS PRIVATE LIMITED,2 to 7 Yrs,Surat,"Skills :b2c, casa, pharma, b2b, marketing",Candidate Specifications: Position: Agency Manager Age: 25 to 35 Years Qualification: Graduate/Post Graduate Experience: Minimum 2 years of experience from Sales field Industry: BFSI Max CTC Offered: Max Upto 5
Relationship Manager - Sales & Marketing,SUPRO INFO SOLUTIONS PRIVATE LIMITED,1 to 3 Yrs,Surat,"Skills :b2c, banking, bfsi, sales, bdm",Interested Candidate Can Contact Me On @ 7621815648 Desired Candidate Profile: - Minimum Graduate with Min.2 Year + Sales Experience in any Industry / Field. - Candidate Age (Preferably b/w
Agency  Manager A health insurance sector,SUPRO INFO SOLUTIONS PRIVATE LIMITED,1 to 5 Yrs,Surat,"Skills :insurance, gi, sales, agency, business",Sr. Executive / Agency Manager - Health Insurance Sales / General / Life Insurance Health Insurance Sales-Agency Channel Job Summary Agency Sales / Recruit agents / Generate Business Looking for
Vacancy for Asst. Manager & Dy. Manager Maintenance,Freelancer Manmohan Malik Hiring For SU Management Services Consultancy,11 to 21 Yrs,Surat,"Skills :management, sales, operations, business development, customer service","Dear Candidate, Vacancy for Asst. & Dy. Maintenance Manager Responsibilities Maintenance of PLC numerical controlled Textile machineries (Link Coner by Savio Polar I DLS, Ring Frame(LR9AXL-1632 spindles,auto doffing), Speed Frame(LF4200),"
Vacancy for Quality Assurance & Control Head Spinning,Freelancer Manmohan Malik Hiring For SU Management,7 to 12 Yrs,Surat,"Skills :iso, communication, compliance, maintenance, training","Dear Candidate , We are inviting applicants for the post of Quality Control/Assurance Head with high growth opportunity while working in MNC . Responsibilities :- Ensuring compliance of quality measures"
Relationship Manager,ROYAL HR RECRUITER,1 to 6 Yrs,Surat,"Skills :servicing, bancasurance, communication, direct sales, skills",Job Title: RM/ SRM/ KRM -Direct Job Description: 1. Educate the Customer about the product 2. Cold calling to arrange meetings with potential customers to prospect for new business 3.Close
iOS Developer,Greencom Ebizzinfotech.,1 to 2 Yrs,Surat,"Skills :api, json, cloud, cocoa, swift","Responsibilities and Duties - Design and build advanced applications for the iOS platform - Collaborate with cross-functional teams to define, design, and ship new features. - Unit-test code for robustness,"
Store Manager,Hues Consulting,5 to 8 Yrs,Surat,"Skills :marketing, sales, retail, customer service, inventory management","Responsibilities and Duties: Conduct audits at the stores to ensure that SOPs followed by the Store Managers such as proper Guest Handling , Telephone Etiquettes, appointment scheduling , Cash Handling,"
"Air Hostess,Ground Staff and Air Ticketing",GS Job Point Hiring For GS Job Point,0 to 2 Yrs,Surat,"Skills :maintenance, email, meals, communication, ticketing",We are Hiring for the jobs for the position of Air Ticketing / Ground Staff / Cabin Crew / Maintenance Engineer Key Responsibilities Welcome passengers on board and directing them
Urgent hiring for Airport Ground Staff Direct Domestic & International Airport,GS Job Point Hiring For GS Job Point,0 to 2 Yrs,Surat,"Skills :salary, communication, meals, ticketing, maintenance",We are Hiring for the jobs for the position of Air Ticketing / Ground Staff / Cabin Crew / Maintenance Engineer Key Responsibilities Welcome passengers on board and directing them
Urgent hiring for ground staff and air-ticketing and cabin crew airline services,UNIQUE PLACEMENT.,0 to 2 Yrs,Surat,"Skills :clearing, airlines, aviation, passenger,",We are Hiring for the jobs for the position of Air Ticketing / Ground Staff / Cabin Crew / Maintenance Engineer Key Responsibilities Welcome passengers on board and directing them
Need Freelance Data Entry Operator Part Time Work From Home,Amazement online Services LLP,0 to 4 Yrs,Surat,"Skills :freelancing, home based, data entry, english typing, work from home","Dear Freelancer, Serious candidates required to work on computer & manual based projects We provide data entry projects for freelancer . this is totally home based work without any target"
"Suitable candidates can apply for Cabin Crew, Ground Staff and Ticketing",APG Job Solution,0 to 4 Yrs,Surat,"Skills :aviation, airlines, aircraft maintenance, ground control, back office operations","Job Description Dear Candidate, Greetings of the day !!! This is to inform you that we do have the job openings in aviation industry for the profiles of Cabin Crew,"
"Ground Staff,Cabin Crew and Air-Ticketing",APG Job Solution,0 to 2 Yrs,Surat,"Skills :airlines, ground control, ground handling, air ticketing, mechanical engineering","Job Description Dear Candidate, Greetings of the day !!! This is to inform you that we do have the job openings in aviation industry for the profiles of Cabin Crew,"
Hiring for  Networking Engineer Aviation,Air Placement Services Hiring For Air Placement Services,0 to 1 Yr,Surat,"Skills :networking, administration, firewall, security, engineering",We would like to introduce ourselves as Recruitment Services Leading Recruitment Organization with more than 35 Blue Chip Companies of India. We are having WALK-IN INTERVIEW For Network/Radio Jobs For
Microbiologist,Sevalal Enterprises Hiring For sevalal placement,2 to 5 Yrs,Surat,"Skills :microbiology, formulation, testing, biotechnology, quality control","Dear sir, We are having opening for Microbiology Dept for Fresher or Experience candidate in boisar / Palghar location, so if you are interested then share your C.V. otherwise kindly"
Area Sales Manager,ORRA CONSULTANTS Hiring For A Leading Pest Control & Hygiene Services Co. for Goa and Surat.,1 to 4 Yrs,Surat,"Skills :insurance, hospitality, banking, telecom, broadband",Position: Area Sales Manager- Key Accounts Previous Work Experience: 1 - 4 years of Sales experience Age: Not more than 27 years Qualification: MBA from a Tier 1 or 2
Hiring Delivery Boy & Delivery Executive in Surat,Swiggy,0 to 2 Yrs,Surat,"Skills :time management, driving skills, problem solving, customer service skills","Responsibilities and Duties Responsible for collecting the food from the restaurant as a biker Benefits: Flexible working hours (Full Time, Part time, night shifts, weekend) Attractive Weekly, weekend and monthly"
"SEO Content Writer - NJ Group, Head Office, Surat",NJ INDIA INVEST PRIVATE LIMITED,2 to 7 Yrs,Surat,"Skills :proof reading, content writing, seo content writer","Job Title : Content Development Job Location : Surat, Head Office Salary : Best CTC + Annual Performance Incentives + Good Appraisal and Growth Job Description : Create & Develop"
Accountant/cashier,Freelancer Rahul Singh 2 Hiring For Prince Paradise,0 to 5 Yrs,Surat,"Skills :assistants, accounting, marketing, clerks, accountants","Entry-level management position that focuses on supporting the day-to-day activities in Housekeeping, Recreation/Health Club and Laundry, if applicable. Position works with employees to clean and maintain guestrooms and public space."
"Urgent Recruitment For Airport Staff, & Ticketing Executive",FreelancerJitendra Kumar Hiring For indigo airlines,0 to 4 Yrs,Surat,"Skills :sales, flight operations, back office support, ground staff, cabin crew activities","Dear Candidate, Greeting for the day! We are Hiring for the jobs for the position of Air Ticketing / Ground Staff / Cabin Crew / Maintenance Engineer Key Responsibilities Welcome"
available for male female,Royal Group,0 to 3 Yrs,Surat,"Skills :mail, typing, book keeping",Our company provides you pdf file on your mail id. you have to download the pdf file and after downloading just see pdf file and you have to type same
Microsoft word typing work,Royal Group Hiring For ROYAL GROUP,0 to 4 Yrs,Surat,"Skills :banking, can, entry, data","currently we are hiring candidates for Microsoft word typing work from image file. interested candidates can contact at 8368314513, 9953436607"
Management Trainee,Apsis Management Hiring For Apsis Management,0 to 2 Yrs,Surat,"Skills :communication skills, grasping power, field work, convincing power, marketing skills",The hired candidate will work with us into all functional areas of Management starting off with Sales & Marketing then moving on to Human Resource Development & Management and finally
Hiring For Cashier,Sd job point Hiring For Cashier,0 to 2 Yrs,Surat,"Skills :customer service skills, filing / paper management, communication skills","Welcoming customers, answering their questions, helping them locate items, and providing advice or recommendations. Operating scanners, scales, cash registers, and other electronics. . Accepting payments, ensuring all prices and quantities"
Assistance Accountant Banking Operations,career link. Hiring For career link.,0 to 2 Yrs,Surat,"Skills :operations, management, sales, ms office, customer service","We would like to introduce ourselves as Recruitment Services Leading Recruitment Organization with more than 35 Blue Chip Companies of India and Abroad. we are hiring for Skills: Computer Operator,"
"Vacancy for Technician, fire & Safety officer",Abil Communication,0 to 2 Yrs,Surat,"Skills :airline ticketing, ticket sales, communication skills",Job Description Job Description Salary 25k to 52k Education & Skills Required: Candidate (both freshers and experienced) with good communication skills require. Candidate should be time flexible. Education: The only
Hiring For Supervisor Post now,Singh Placement Bureo,1 to 5 Yrs,Surat,"Skills :production, maintenance, project management, production management",Job responsibilities for Fm-cg Company supervisor: Lead a team of commissioning activities in projects. Interfaces with other disciplines to ensure integration of activities. Undertake commissioning activities for Fm-cg Company Preparation
Sales Manager,Recruitment Spot Hiring For Recruitment Spot,1 to 8 Yrs,Surat,"Skills :acquisition, team handling, business development, sales","Dear Candidate, Greetings from Recruitment Spot. We have found your CV suitable for some of the Openings for Sales Profile with leading Life Insurance Companies. OPENINGS IN BANCCA, DIRECT and"
Sales Manager,Recruitment Spot Hiring For Recruitment Spot,1 to 8 Yrs,Surat,"Skills :acquisition, sales, team handling, business development","Dear Candidate, Greetings from Recruitment Spot. We have found your CV suitable for some of the Openings for Sales Profile with leading Life Insurance Companies. OPENINGS IN BANCCA, DIRECT and"
Sales Manager,Recruitment Spot Hiring For Recruitment Spot,1 to 8 Yrs,Surat,"Skills :acquisition, business development, sales, team handling","Dear Candidate, Greetings from Recruitment Spot. We have found your CV suitable for some of the Openings for Sales Profile with leading Life Insurance Companies. OPENINGS IN BANCCA, DIRECT and"
Urgent Vacancy For Ground Staff or Airlines Ticketing,SKYLINE PLACEMENT Hiring For Airlines,0 to 3 Yrs,Surat,"Skills :passenger, air, clearing, aviation, airlines","Dear Candidate, Greeting for the day! We are Hiring for the jobs for the position of Air Ticketing /GroundStaff/ Cabin Crew / Maintenance Engineer Key Responsibilities Welcome passengers on board"
Hiring For Ticketing Profile And Flight maintenance,SKYLINE PLACEMENT Hiring For Airlines,0 to 3 Yrs,Surat,"Skills :air, aviation, airlines, clearing, passenger","Dear Candidate, Greeting for the day! We are Hiring for the jobs for the position of Air Ticketing /GroundStaff/ Cabin Crew / Maintenance Engineer Key Responsibilities Welcome passengers on board"
Opening for Supervisor Post,Hr Solutions.. Hiring For Samsung company,0 to 2 Yrs,Surat,"Skills :supervision, career development",We are hiring candidate in Samsung electronic company Applying fresher and experience male and female candidate Location. All. Over india Qualifications. 10 to 12th. Graduation. Post graduate mba Salary. 12500
"Looking suitable Candidates for Cabin Crew,Air Ticketing,Ground Staff",GLOBESTAR AVIATION AND ALLIED SERVICES PRIVATE  LIMITED,0 to 1 Yr,Surat,"Skills :passenger, ticket sales, photographic memory, airline ticketing, air ticketing","Job Description Job Description, Contract Number 9811300496 neha This is to inform you that we do have the job openings in aviation industry for the profiles of CabinCrew, GroundStaff"
Environmental Engineer,FMC Consultant Hiring For HOTEL,4 to 9 Yrs,Surat,"Skills :air, water, recycling, compliance, site","Environmental engineers use the principles of engineering, soil science, biology, and chemistry to develop solutions to environmental problems. They are involved in efforts to improve recycling, waste disposal, public health,"
vacancy for  f&b administrator,Freelancer Ambatwar pradip kishor Hiring For sheraton hotel,4 to 8 Yrs,Surat,"Skills :performance, communication, marketing, administration, appraisals",Responsible for implementing and managing the organization's administrative systems establishing appropriate communication processes within the F&B administration and operations teams. Be the first point of reference for administrator/ coordinator for
BANKING WORK FOR BANKING PROCESS AS OPERATION MANAGER,Global support solutions Hiring For Global support solutions,0 to 4 Yrs,Surat,"Skills :banking, operations, pmp, retail banking, core banking",Job Description:- A bank operations manager is an individual who carries out administrative and accounting duties in a financial institution by organizing and coordinating banking services. Shall manage overall Operations
Assistant Manager Marketing-Rubber.Polymer.Plastic,PHIEDGE TALENT ENHANCERS LLP,2 to 7 Yrs,Surat,"Skills :elastomers, polymer, thermoplastics, polyurethane, additives","Location-Delhi,Chennai,Gujarat,Mumbai Exp-2+years Candidate should have experience in Rubber/Polymer/Plastic Industry Graduation and Post graduation should be in Rubber/Polymer/Plastic. Have knowledge about Raw Material(Rubber/Plastic/Polymer) Have knowledge about Masterbatches"
URGENT HIRING FOR TEAM LEADER ( ALL INDIA ),UCFS TRAINING CENTRE,0 to 4 Yrs,Surat,"Skills :sales, training, timing, excel, leadership",JOB DETAILS- URGENT HIRING FOR TEAM LEADER ( ALL INDIA ) We are looking for a qualified team leader to manage our team and provide effective guidance. You will be
Data Entry Operator,UCFS TRAINING CENTRE,0 to 4 Yrs,Surat,"Skills :hindi, training, english, pc, typing",Job Description 1. Basic Computer Knowledge Interested candidate apply now- Part time / Full time Jobs. We provide Complete training to start the Work. Handling all office work. Daily checking
Php Industrial INternship,Sparks to Ideas,0 to 1 Yr,Surat,"Skills :internship, php, software development, web development, ahmedabad internship","Sparks TO Ideas is web developing and software developing company at ahmedabad. we are working in Php,Java & Android Technologies. we have many experience developer in our company and we"
"Looking suitable Candidates for Cabin Crew,Air Ticketing,Ground Staff",Finsure Infotech,0 to 4 Yrs,Surat,"Skills :management, ticketing, computer operating, cabin service, airport ground handling","Job Description, Contract Number 7060371169 Amit This is to inform you that we do have the job openings in aviation industry for the profiles of Cabin Crew, Ground Staff Aircraft"
"''System Engineer'' , ''Assistant'' , ''System Security Assistant''",Flying Solution Hiring For airlines,0 to 1 Yr,Surat,"Skills :manufacturing, senior management, system administration, virtual assistant, assistant work","Dear Candidate, Greeting for the day! We are Hiring for the jobs for the position of Air Ticketing / Ground Staff / Cabin Crew / System Engineer/ Assistant/ Maintenance Engineer"
Production Planning Engineer,Shashi Carreer Zone Hiring For Tata Motors Ltd,0 to 4 Yrs,Surat,"Skills :maintenance engineering, quality assurance engineering, maintenance operations, production support, quality engineering",Dear Candidates We Recruit for Tata Motors Ltd Job Profile- Production maintenance Quality Department SALARY-15k to 60k (Depends your position and interview) Location:- Many Location in India Experience- Fresher and
Hiring For Automobile supervision post,Sai Enterprises.. Hiring For Hiring For Candidates,0 to 3 Yrs,Surat,"Skills :management, supervision, maintenance, production, project management",Job responsibilities for Mahi.ndra Automobile Company supervisor: Lead a team of technicians to undertake commissioning activities in projects. Interfaces with other disciplines to ensure integration of activities. Undertake commissioning activities
supervision post,Sai Enterprises.. Hiring For Hiring For Candidates,0 to 3 Yrs,Surat,"Skills :supervision, maintenance, production, management, project management",Job responsibilities for Mahi.ndra Automobile Company supervisor: Lead a team of technicians to undertake commissioning activities in projects. Interfaces with other disciplines to ensure integration of activities. Undertake commissioning activities
"Freelance recruiter,Hr / Homebased",QRN Services Hiring For QRN Services,0 to 4 Yrs,Surat,"Skills :mis, recruitment, screening, hr, human resources","NEED urgently freelancer recruiters, FRESHERS ELIGIBLE, Good communication skills in english and quick learner . Interested candidates don't apply online or send resumes contact: QRN Services : 09871708212 Location: Can"
Maintenance Supervisor,Kwalitynutri Hiring For hindustan unilever,0 to 4 Yrs,Surat,"Skills :facilities, marketing, business, safety, sales",Job Description: HINDUSTAN UNILEVER COMPANY ON ROLL OPINING Contact Person:- Miss Harleen Kuar Contact no- 07290862212 Hiring male candidates for full time jobs. Interested candidates contact for this great opportunity.
ITI DIPLOMA ENGINEER ONLY MALE CANDIDATE,Harijana Consultants Hiring For maruti suzuki,0 to 2 Yrs,Surat,"Skills :quality, safety, quality oriented, production activity control, maintenance supervision","Job Description, Dear Candidate, We are hiring for Production Engineer Candidate will be responsible for fitting and manufacturing related work Responsible for Production functioning Candidate will be responsible for mechanical"
Maintenance Supervisor,Harijana Consultants Hiring For maruti suzuki,0 to 2 Yrs,Surat,"Skills :mechanical, air, safety, inspection, preventive maintenance","be responsible for mechanical activities in the manufacturing unit. Proven work experience in software quality assurance Company name:-Maruti suzuki pvt. ltd, SALARY-28000-35000 P,M ROOM+FOOD Location:- All india Dear Candidate, We"
"Hiring for Electrical,Mechanical,EC Engineers  Engineer  ac",Apex enterprises,0 to 1 Yr,Surat,"Skills :itp, commissioning, onboarding, hr, integration",Job Description Contact Person- H.R. Anjali Choudhary Contact No. :-7289056112 Calling Time-10am to 6p Job responsibilities for Reliance Jio Telecom supervisor: Lead a team of technicians to undertake commissioning activities
"Looking suitable Candidates for Cabin Crew,Air Ticketing,Ground Staff",A B Solution Service,0 Yrs,Surat,"Skills :ticketing, sales, cabin service, data entry, communication skills","Dear Candidate, Greetings of the day!!! This is to inform you that we do have the job openings in aviation industry for the profiles of Cabin Crew, Ground Staff and"
Hiring Assistant Supervisor Post,Hr Solutions.. Hiring For Britannia company,0 to 4 Yrs,Surat,"Skills :pressure, supervision,","New Job Opening In Britannia Foods Company Salary Monthly Bases;-14,000/40000 Designation:- Supervisor. Store keeper. Senior supervisor Responsibilities --Supervisor are generally responsible for maintaining and overseeing inventory and supplies by receiving,"
Agency Development Manager,Vistabiz solutions,1 to 6 Yrs,Surat,"Skills :sales, insurance, incentives, marketing, business development",Great Opportunity to be an Agency Development Manager in all major locations . Develop various sources of recruitment of financial advisors. Business Development - Work with agents on planning of
PAN INDIA  IN OPERATION MANAGER IN BANKING SECTOR,Global support solutions Hiring For Global support solutions,0 to 4 Yrs,Surat,"Skills :amp, operations, banking, coaching, can",Job Description:- A bank operations manager is an individual who carries out administrative and accounting duties in a financial institution by organizing and coordinating banking services. Shall manage overall Operations
New Hiring For Airline ticketing Aeronautical Engineer,Abil Communication,0 to 3 Yrs,Surat,"Skills :basic, english, forms, communication skills",Job Description Salary 25 k to 52 k Education & Skills Required: Candidate (both freshers and experienced) with good communication skills require.Candidate should be time flexible. Education: The only preliminary
Sales And Marketing,SUPRO INFO SOLUTIONS PRIVATE LIMITED,0 to 4 Yrs,Surat,"Skills :insurance, marketing, sales, finance, fmcg sales",If you are sales and marketing experienced candidate then this opportunity is for you. For more detail: 6352491041 Eligibility Criteria:- Graduation must Age: 24 to 35 Minimum of 6 months
Branch Head,SUPRO INFO SOLUTIONS PRIVATE LIMITED,4 to 9 Yrs,Surat,"Skills :sales, target, insurance, marketing, business development",We have urgent openings for the position of Branch Head with most of the leading life Insurance companies in Agency Vertical. Job Description :- Branch Head - Agency will be
Business Development Manager,SUPRO INFO SOLUTIONS PRIVATE LIMITED,3 to 8 Yrs,Surat,"Skills :agency, marketing, finance, banking, target","Hello Professional, Kindly find below job description for our client Insurance domain. Position: Business Development Manager Contact: 6352491043 CTC: Depend on Previous Salary and Interview Channel: Agency Job Eligibility Criteria:"
Examiner Textiles for Skill India Mission,Innocox Consulting and Research Pvt Ltd,1 to 3 Yrs,Surat,"Skills :embroidery, assessments, garment designing, textile design, assessor","Job Summary Candidate should have done Diploma Degree in Textiles,Apparel,Garment,Fashion related to relevant trade Candidate should know about Textile, Apparel, Garment/ Jute/ Handicraft Responsibilities and Duties Conduct of Assessment/Examination under"
ASSOCIATE SALES MANAGER & ASM - REQUIRED FOR NEW BRANCH - VADODARA,Top Most Placement Hiring For Top Most Placement,0 to 5 Yrs,Surat,"Skills :education, training, insurance, marketing, recruitment","Great Opportunity., Best Way to Be A Manager Designation: - Sales Manager, Associate Sales Manager & Assistant Sales Manager ( Asst ADM) Job Type: - Full time (Company On Roll)"
Great News - Deputy Manager in Life Insurance..lead base,Top Most Placement Hiring For Top Most Placement,1 to 6 Yrs,Surat,"Skills :marketing, sales, business developemen",A Vacancy for Life insurance Direct channel CTC : 2.80.000 lacks TO 4.00.000 lacks + 4000 +INCENTIVE Educational Qualification : Graduate Experience :1 to 6 YR Sales Marketing Location :
URGENT HIRING FOR SR.SALES MANGER,Top Most Placement Hiring For Top Most Placement,1 to 6 Yrs,Surat,"Skills :education, corporate, banking, telecom, marketing","Dear Candidate, Greeting from HR TOPMOST PLACEMENT ! Position: Senior Sales Manager & Assistant Sales Manager Job Location: VADAODARA,SURAT Education / Qualification: Graduation or Above Experience : 1 to 7"
Urgent requirement_equity dealer,Crest Manpower Solutions Pvt Ltd. Hiring For Crest Manpower Solutions Pvt Ltd.,1 to 6 Yrs,Surat,"Skills :derivatives, demat, trading, capital market, equity securities",Position title:-Equity Dealer A leading stock broking company is looking for Equity Dealer cum Advisors for your location. Experience:- Minimum 6 Months in Equity Dealing (MANDATORY) Salary:- Up to 5
Part Time & Work From Home Data Entry Operators Req.,Manthan Solutions Hiring For,0 to 4 Yrs,Surat,"Skills :online typing, computer operator, online data entry, back office executive, part time data entry operator",Manthan Solutions Contact Ms. Pratima @ 9163822416 Vacancies : 100 Jobs : 1 ) Medical Transcription Data Entry Operator This project is based on medical content which is given in
Urgent Opening for Unit Manager - Sales ( Furniture Segment)- Surat,NJ INDIA INVEST PRIVATE LIMITED,0 to 4 Yrs,Surat,"Skills :furniture, architecture, interior designing, sales management, lead generation",Recruitment of Interior Designer / Architects: (1) Generate leads of the Interior Designer / Architects who are interested to work with Q Interior. (Q Interior is a One Stop Solution
golden opportunity for all engineer,Harijana Consultants Hiring For MARUTI SUZUKI,0 to 2 Yrs,Surat,"Skills :testing, sql, android, science, security","Candidate will be responsible for fitting and manufacturing related work Responsible for Production functioning Candidate will Strong knowledge of software QA methodologies, tools and processes Experience in writing clear, concise"
Relationship Manager Banccasurance,Aspire ERP systems Hiring For Aspire ERP systems,1 to 6 Yrs,Surat,"Skills :bancassurance, life insurance, alternate channel, sales management, unit manager","Dear Associate, Your chance to step into a sales career in one of the leading private life insurance companies in India and enjoy the pleasure of working in the Top"
Current Hiring for Airlines Management & Ground-Staff,Mount Tele Services,0 to 4 Yrs,Surat,"Skills :recruitment, hostel management, banking management, ground handling, airport management","Dear Candidate, Greeting for the day! We are Hiring for the jobs for the position of Air Ticketing / Ground Staff / Cabin Crew / Maintenance Engineer Key Responsibilities Welcome"
Dear Candidates Urgent Requirement for Regional Product Manager,Smart Hunt Consultant,4 to 7 Yrs,Surat,"Skills :ultrasound, marketing, x-ray, retail, sales","Position:RegionalManager(CR/DR) Location : Western India JobDescription 1)ReportingtoRegionalHead/GeneralManager 2) Promote sales in respective territory and ensures customer satisfaction is maintained to achieve divisions sales plan 3) Obtain sale orders, and establishes"
BDM-NRI Business Across Region,Jobs Solutions,4 to 11 Yrs,Surat,"Skills :broking, high net worth individuals, hni acquisition, portfolio management, wealth","Job Description To Liaison with Office Heads and Sales teams across the region (Typically 10-12 Branches) and drive NRI Business through them. Training, coordinating, and supporting team members for NRI"
new staff hiring air line for airticketing and cabin crew,F.Tech.,0 Yrs,Surat,"Skills :general, ticketing, routing, graduate, national","Job Description Dear Candidate, Greetings of the day !!! This is to inform you that we do have the job openings in aviation industry for the profiles of Cabin Crew,"
Sales manager,Enabler recruitment solutions,5 to 10 Yrs,Surat,"Skills :marketing, automation, target, drives, insurance","Hii, We are looking for candidate for SR. Sales manager. Managing Sales for areas of business like Automation, Drives, Location - Surat Education and qualification -- Diploma / B.E Electrical/Electronics/Instrumentation."
for Production Engineering/Quality Engineer/Maintenance profile,Mithila Maintenance & Consultancy Service,0 to 1 Yr,Surat,"Skills :office,","SAMSUNG Electronic ltd Contact with us:- 9999164787 Location:- All India( As For Company Requirement) Dear Candidate, We are hiring for Production Engineering/Quality Engineer/Maintenance profile All Sales Profile Job Description: Candidate"
